ZCTA5CE20,Parameter,Value
01604,CO,0.33769230769230774
02119,CO,0.23461538461538464
02125,CO,0.44153846153846155
02916,CO,0.23
03053,CO,0.14
06120,CO,0.35250000000000004
06513,CO,0.2841666666666667
